id,hide,supplier_id,nama,kode,note,harga,jenis,kode2,status,nominal,kd_nm_produk,kd_jenis_produk
2907,0,OP,THREE 1000,T1,1,1959,1,HT1,1,1000,17,x
2908,0,OP,THREE 2000,T2,1,2943,1,HT2,1,2000,17,x
2909,0,OP,THREE 3000,T3,1,3928,1,HT3,1,3000,17,x
2910,0,OP,THREE 4000,T4,1,4912,1,HT4,1,4000,17,x
2911,0,OP,THREE 5000,T5,1,5897,1,HT5,1,5000,17,x
2912,0,OP,THREE 10000,T10,1,10819,1,HT10,1,10000,17,x
2913,0,OP,THREE 25000,T25,1,25549,1,HT25,1,25000,17,x
2984,0,OP,THREE 6000,T6,1,6881,1,HT6,1,6000,17,x
2985,0,OP,THREE 7000,T7,1,7866,1,HT7,1,7000,17,x
2986,0,OP,THREE 8000,T8,1,8850,1,HT8,1,8000,17,x
2987,0,OP,THREE 9000,T9,1,9835,1,HT9,1,9000,17,x
2989,1,OP,THREE 35000,T35,1,34924,1,HT35,2,35000,17,x

