nama,kode,harga
TELKOMSEL 5K NASIONAL,SN5,6450
TELKOMSEL 10K NASIONAL,SN10,11250
TELKOMSEL 20K NASIONAL,SN20,20750
TELKOMSEL 25K NASIONAL,SN25,25450
TELKOMSEL 50K NASIONAL,SN50,49700
TELKOMSEL 100K NASIONAL,SN100,97700
XL 5K NASIONAL,XC5,6100
XL 10K NASIONAL,XC10,11100
XL 25K NASIONAL,XC25,25450
XL 50K NASIONAL,XC50,50050
XL 100K NASIONAL,XC100,99300
XL 200K NASIONAL,XC200,198750
"HOTROD 3G+ BULANAN, 2.1GB/30 DAYS",IH25,23200
"HOTROD 3G+ BULANAN, 3GB/30 DAYS",IH49,44200
"HOTROD 3G+ BULANAN, 6,3GB/90 DAYS",IH75,66200
"HOTROD 3G+ BULANAN, 5.1 GB/30 DAYS",IH99,81200
"SUPER NGEBUT, 5GB/30DAYS",SPN30,26200
"SUPER NGEBUT, 11GB/30 DAYS",SPN55,46200
XMARTPLAN IPHONE 49K/30DAYS,XPI49,44200
XMARTPLAN BLACKBERRY 99K/30 DAYS,XPB49,44200
XMARTPLAN IPHONE 99K/30 DAYS,XPI99,81200
XMARTPLAN BLACKBERRY 99K/30 DAYS,XPB99,81200
BB GAUL/30 DAYS,BB49,44200
BB BIZZ/30 DAYS,BB50,41200
"BB FULL BIS LITE, 30 DAYS",BB59,41200
BB FULL SERVICE/30 DAYS,BB90,71200
BB 3IN1/30 DAYS,BB3IN1,101200
INTERNET UNLIMITED MINGGUAN,IUN12,11200
INTERNET UNLIMITED BULANAN,IUN49,44200
BB FULL BIS LITE SEBULAN (BB 10RB & PULSA 40RB),BBF50,41200
INDOSAT REGULER 5K,IJ5,6250
INDOSAT GPRS 5,IG5,6250
INDOSAT SMS 5,IJS5,6250
INDOSAT REGULER 10K,IJ10,11250
INDOSAT SMS 10,IJS10,11250
INDOSAT REGULER 12K,IJ12,13050
INDOSAT REGULER 25K,IJ25,25800
INDOSAT SMS 25K,IJS25,25800
INDOSAT REGULER 50K,IJ50,50050
INDOSAT REGULER 100K,IJ100,98700
BOLT4G 25K,BO25,24750
BOLT4G 50K,BO50,48750
BOLT4G 100K,BO100,96750
BOLT4G 150K,BO150,144750
BOLT4G 200K,BO200,192750
THREE 1K,T1,1680
THREE 2K,T2,2660
THREE 3K,T3,3640
THREE 4K,T4,4620
THREE 5K,T5,5600
THREE 10K,T10,10500
THREE 20K,T20,20300
THREE 25K,T25,25200
THREE 30K,T30,30100
THREE 50K,T50,49700
THREE 100K,T100,98700
AXIS 5,AXIS5,6000
AXIS 10,AXIS10,11000
AXIS 25,AXIS25,25450
AXIS 50,AXIS50,50050
AXIS 100,AXIS100,99300
AXIS 200,AXIS200,198750
FLEXI 5K,FH5,5550
FLEXI 10K,FH10,10350
FLEXI 20K,FH20,19950
FLEXI 50K,FH50,48800
FLEXI 100K,FH100,96800
FLEXI 150K,FH150,144850
FLEXI 250K,FH250,240950
ESIA 5K,E5,5850
ESIA 10K,E10,10850
ESIA 25K,E25,25050
ESIA 50K,E50,49300
ESIA 100K,E100,97800
ESIA 1K JABOTABEK,EJ1,1725
ESIA 5K JABOTABEK,EJ5,5750
ESIA 10K JABOTABEK,EJ10,10750
SMARTFREN 5K JAKARTA,SMT5,5700
SMARTFREN 10K JAKARTA,SMT10,10600
SMARTFREN 20K JAKARTA,SMT20,20500
SMARTFREN 25K JAKARTA,SMT25,25300
SMARTFREN 50K JAKARTA,SMT50,49800
SMARTFREN 100K JAKARTA,SMT100,98800
SMARTFREN 5K NASIONAL,SMTN5,5750
SMARTFREN 10K NASIONAL,SMTN10,10750
SMARTFREN 20K NASIONAL,SMTN20,20500
SMARTFREN 25K NASIONAL,SMTN25,25300
SMARTFREN 50K NASIONAL,SMTN50,49800
SMARTFREN 100K NASIONAL,SMTN100,98800
CERIA 5K,C5,5375
CERIA 10K,C10,10000
CERIA 20K,C20,19250
CERIA 50K,C50,47050
CERIA 100 K,C100,93300
TELKOMSEL 5000,SP5,6550
TELKOMSEL 10000,SP10,11450
TELKOMSEL 20000,SP20,20750
TELKOMSEL 50000,SP50,49950
TELKOMSEL 100000,SP100,97750
TELKOMSEL 25000,SP25,25600
INDOSAT 5000,IP5,6400
INDOSAT 10000,IP10,11400
INDOSAT 25000,IP25,25790
INDOSAT 50000,IP50,50040
INDOSAT 100000,IP100,98690
AXIS 5000,AXP5,6050
AXIS 10000,AXP10,10950
XL 5000,XL5,6090
XL 10000,XL10,11090
XL 25000,XL25,25490
XL 50000,XL50,50240
XL 100000,XL100,99740

