margin,tanggal,balance,jml_trx
301703,01-01-2013,143915770.85,266
214642,01-01-2014,127197349.95,379
-526286,01-02-2013,161354601.35,251
-349821,01-02-2014,153070571.22,464
-339384,01-03-2013,179880945.01,356
1155071,01-04-2013,192718354.65,374
-1234770,01-04-2014,203133292.73,547
-1010278.27,01-05-2013,212432828.09,368
529575,01-05-2014,196313987.41,574
-272040,01-06-2013,127563935.31,230
-130683222.98,01-07-2013,104198826.9,287
-148921291.1,01-08-2013,123171112.28,394
-281331,01-09-2013,128426846.25,344
-825255.66,01-10-2013,142421957.34,397
-1247798,01-11-2013,147546239.01,366
-25603977.11,01-12-2012,111482049.15,189
233091,01-12-2013,119797200.24,411
1063743.05,02-01-2013,145020005.9,284
-652985,02-01-2014,124447788.95,372
891658,02-02-2013,162415149.35,280
203869,02-02-2014,153065603.22,374
659590,02-03-2013,181066770.01,366
308730,02-03-2014,99066987.54,434
949706,02-04-2013,194023325.65,373
-1448003,02-04-2014,200267596.73,420
1153409.7,02-05-2013,213586237.79,350
-774727,02-05-2014,194917211.41,575
763618,02-06-2013,128528544.31,259
-1536797,02-07-2013,102662029.9,335
-5588579,02-08-2013,264218497.38,324
564427,02-09-2013,129344655.25,315
-144246,02-10-2013,143786285.34,394
1942811,02-11-2013,150190930.01,374
1019271,02-12-2012,138063756.77,244
2275778,02-12-2013,122165883.24,433
99589.95,03-01-2013,145290828.85,289
-928064,03-01-2014,123826015.95,428
845534,03-02-2013,163335337.35,286
-150760,03-02-2014,153734079.22,430
445045,03-03-2013,181312535.01,312
-1245903,03-03-2014,98000669.54,444
685842,03-04-2013,194707130.65,369
-61197.5,03-05-2013,213525040.29,357
1867118,03-05-2014,197037470.41,555
75751,03-06-2013,128598709.31,273
-1500575,03-07-2013,101477450.9,332
896443,03-08-2013,265114940.38,345
1838251,03-09-2013,130054555.25,368
-27555,03-10-2013,143571102.34,355
236156,03-11-2013,148661633.01,340
358579,03-12-2012,138248679.77,277
196175,03-12-2013,123685365.24,393
151976,04-01-2013,145520144.85,319
841681,04-01-2014,125620001.95,408
136076,04-02-2013,163310562.35,300
-459112,04-02-2014,152514962.22,446
-737614,04-03-2013,180694409.01,326
-839428,04-03-2014,99487751.54,482
-117948,04-04-2013,194819692.65,388
-2017463,04-04-2014,195681822.73,482
-1550765,04-05-2013,213889980.49,332
2526865,04-05-2014,198261399.41,525
-130187,04-06-2013,128650692.31,246
229200,04-07-2013,101706650.9,319
320499,04-08-2013,115702531.38,401
-563032,04-09-2013,129020341.25,387
-1080507,04-10-2013,142195580.34,385
163910,04-11-2013,299649072.9,373
239757,04-12-2012,138760975.77,252
404497,04-12-2013,124419364.24,338
189783,05-01-2013,146059160.85,265
568889,05-01-2014,126675446.95,373
-540039,05-02-2013,163540094.35,281
-1863533,05-02-2014,152078598.22,475
308219,05-03-2013,181765124.01,282
-950404,05-03-2014,116441548.54,495
199795,05-04-2014,198331598.73,301
817959,05-05-2013,215234924.09,278
-559423,05-05-2014,196368064.41,607
-797666,05-06-2013,127853026.31,278
287654,05-07-2013,102707720.9,329
456542,05-08-2013,116221558.38,402
0,05-09-2013,,0
672538,05-10-2013,143899914.34,373
271364,05-11-2013,299720613.9,367
-2428296,05-12-2012,136595244.77,205
101356,05-12-2013,123168358.24,400
805805.1,06-01-2013,146778392.85,301
-1131806,06-01-2014,125736173.95,426
-97475,06-02-2013,164066482.35,348
-1831691,06-02-2014,102899838.74,466
-309528,06-03-2013,181733925.01,338
-1099926,06-03-2014,115456856.54,449
157998,06-04-2013,197046836.65,256
778136,06-04-2014,199400822.73,461
-697916.7,06-05-2013,214537007.39,335
-11701038,06-05-2014,186495771.81,606
-752222,06-06-2013,127506502.31,158
410099,06-07-2013,103117819.9,236
317581,06-08-2013,116546740.38,340
235252,06-09-2013,132041563.25,353
436703,06-10-2013,144390876.34,329
88109,06-11-2013,99006934.9,374
946323,06-12-2012,137718614.77,258
355873,06-12-2013,125379158.24,378
390778,07-01-2013,147382711.85,312
312510,07-01-2014,126400569.95,446
-32174,07-02-2013,164705424.35,201
-217356,07-02-2014,105117323.74,370
190380,07-03-2013,182937533.01,340
-795917,07-03-2014,115911976.54,388
-1668426,07-04-2013,195437339.65,299
-1261468,07-04-2014,198142869.73,496
391646.45,07-05-2013,215435239.84,338
95304,07-05-2014,201221315.81,565
-418728,07-06-2013,127087774.31,251
794305,07-07-2013,103912124.9,307
180043,07-08-2013,116843194.38,156
369959,07-09-2013,132457067.25,347
-1088090,07-10-2013,143043482.34,411
215942,07-11-2013,99358142.9,392
-392112,07-12-2012,137372194.77,229
-15495428,07-12-2013,109874922.24,298
74795.05,08-01-2013,148073068.9,193
-405329,08-01-2014,126157462.95,382
31318,08-02-2013,165321668.35,250
804556,08-02-2014,106280956.74,388
1179479,08-03-2013,184596909.01,358
230532,08-03-2014,117307786.54,392
-297077,08-04-2013,195072240.65,388
-5246585,08-04-2014,181567140.73,481
111190.45,08-05-2013,216205972.79,259
-12857236,08-05-2014,177743649.81,491
289495,08-06-2013,127377269.31,273
-3088995,08-07-2013,100823129.9,365
-103835,08-08-2013,116018955.38,336
832177,08-09-2013,134317111.25,358
121582,08-10-2013,141273896.34,342
-274408,08-11-2013,99329425.9,272
539401,08-12-2012,137595050.77,247
2069530,08-12-2013,112119302.24,331
1167846,09-01-2013,149646115.9,306
4531984,09-01-2014,131759371.95,391
398892,09-02-2013,165952422.35,213
-185118,09-02-2014,105913094.74,357
-4916445,09-03-2013,178586357.01,337
111282,09-03-2014,115363262.54,361
-1335973,09-04-2013,195883405.65,317
647335,09-04-2014,186420750.73,454
1435234.6,09-05-2013,217641207.39,330
-1549633,09-05-2014,189884117.81,300
-607653,09-06-2013,126769616.31,268
2992272,09-07-2013,104849284.9,208
109317,09-08-2013,116339711.38,275
-1177604,09-09-2013,132137163.25,361
518735,09-10-2013,142313029.34,422
30043,09-11-2013,99359468.9,343
172439,09-12-2012,136852358.77,207
1745547,09-12-2013,113524770.24,385
-106432.95,10-01-2013,149492371.95,295
-335640,10-01-2014,133446473.95,423
1094625,10-02-2013,167411492.35,244
-591385,10-02-2014,105612255.74,383
135768,10-03-2013,176834059.01,237
-907101,10-03-2014,114226181.54,442
203996,10-04-2013,196790165.65,332
