status,urutan,nm_produk,str_produk,kd_nm_produk,kd_jenis_produk
1,-1,TELKOMSEL (SIMPATI/AS),TELKOMSEL,1,1
1,1,INDOSAT (IM3/MENTARI),INDOSAT,2,1
1,1,ASIASOFT,ASIASOFT,1,2
1,3,XL,XL,3,1
1,4,XL HOTROD 3G,HOTROD,4,x
1,5,XL BB,BB,5,x
1,6,XL INET UNLIMITED,INTERNET XL,6,x
1,7,XL XMARTPLAN,XMARTPLAN,7,x
1,8,AXIS,AXIS,8,1
1,9,BOLT,PULSA BOLT,9,9
1,10,CERIA,CERIA,10,1
1,11,ESIA,ESIA,11,1
1,12,FLEXI,FLEXI,12,1
1,13,HEPI,HEPI,13,1
1,14,SMARTFREN,SMARTFREN,14,1
2,15,IM2,IM2,15,1
2,16,SPINCARD,PAKET INSTAN CARD,16,1
1,17,THREE,THREE,17,1
1,18,PULSA TRANSFER,TRANSFER,18,x
1,8,AXIS INTERNET,AXIS INTERNET,19,x
1,2,BSF VOUCHER,BSF,2,2
1,3,CABAL ONLINE,CABAL,3,2
1,4,DASAGAME,DASAGAME,4,2
1,5,DIGICASH/PRODIGY,DIGICASH,5,2
1,6,E-PINS,E-PINS,6,2
1,7,FASTBLACK,FASTBLACK,7,2
1,8,FAVEO GAME,FAVEO,8,2
1,9,FACEBOOK GAME,FACEBOOK GAME,9,2
1,10,GAMEWAVE,GAMEWAVE,10,2
1,11,GAMEWEB,GAMEWEB,11,2
1,12,GARENA,GARENA,12,2
1,13,GEMSCOOL,GEMSCOOL,13,2
1,14,GOGAME,GOGAME,14,2
1,15,GOLONLINE,GOLONLINE,15,2
1,16,IAHGAMES,IAHGAMES,16,2
1,17,INGAME,INGAME,17,2
1,18,ITUNES,ITUNES,18,2
1,19,KIWICARD,KIWICARD,19,2
1,20,KORAM,KORAM,20,2
1,21,LYTO/Game On,LYTO,21,2
1,22,MAINKAN,MAINKAN,22,2
1,23,MATCHMOVE,MATCHMOVE,23,2
1,24,MEGAXUS,MEGAXUS,24,2
1,25,METIN,METIN,25,2
1,26,MOBIUS,MOBIUS,26,2
1,27,MOGPLAY,MOGPLAY,27,2
1,28,MOLPOINTS,MOLPOINTS,28,2
1,29,MYCARD,MYCARD,29,2
1,30,ORANGEGAME,ORANGEGAME,30,2
1,31,PLAYCIRCLE,PLAYCIRCLE,31,2
1,32,PLAYFISH,PLAYFISH,32,2
1,33,PLAYNEXIA,PLAYNEXIA,33,2
1,34,PLAYON,PLAYON,34,2
1,35,PLAYPOINT,PLAYPOINT,35,2
1,36,ULTIMATE GAMECARD/PLAYSPAN,PLAYSPAN,36,2
1,37,QEON GAME,QEON,37,2
1,38,RAPPELZ ONLINE,RAPPELZ,38,2
1,39,ROSE ONLINE,ROSE ONLINE,39,2
1,40,SERENITY,SERENITY,40,2
1,41,SOFTNYX GAME,SOFTNYX,41,2
1,42,SPIN,SPIN,42,2
