tipe,saldo,label
1,1192096,MX_
1,1997166,AP
1,950044,RM_
1,646991,SH_
1,2142,MP
1,1427159,XM
1,2632,RP
1,8321,ANP_
1,3502168,GE
1,3275080,RB
1,15,FR_
1,824220,SV_
1,968,ST_
1,1192202,JMC1_
1,15588253,UP_
1,3144015,MV1_
1,2817687,CR1_
1,2355022,UT1_
1,1330349,FC1
1,239,AMC_
1,19,MAB_
1,2934424,XML1_
1,7015192,PKPAY
1,17794,SY
1,482475,JR1
1,4942,XS_
1,2972215,GI
1,2428059,PG
1,190911,ANR
1,3886,TAPP
1,715,HP_
1,1500623,RR3_
1,797897,ULT_
1,2052836,BK_
2,24075454,Mandiri
2,8362280,BCA
2,11707828,BNI
2,11188092,BRI
1,-19692496,RESELLER

