ip,hits,online,tanggal
127.0.0.1,237,1324390751,2011-12-20
127.0.0.1,158,1324481904,2011-12-21
127.0.0.1,80,1324554555,2011-12-22
127.0.0.1,65,1324634261,2011-12-23
127.0.0.1,27,1324743645,2011-12-24
127.0.0.1,42,1324820831,2011-12-25
127.0.0.1,36,1324918213,2011-12-26
127.0.0.1,84,1325000024,2011-12-27
127.0.0.1,40,1325077973,2011-12-28
127.0.0.1,83,1325172283,2011-12-29
127.0.0.1,6,1325201300,2011-12-30
127.0.0.1,9,1325514199,2012-01-02
127.0.0.1,27,1325609907,2012-01-03
127.0.0.1,20,1325622174,2012-01-04
127.0.0.1,45,1325735493,2012-01-05
127.0.0.1,4,1325814488,2012-01-06
127.0.0.1,25,1325927521,2012-01-07
127.0.0.1,94,1326041475,2012-01-08
127.0.0.1,5,1326189373,2012-01-10
127.0.0.1,52,1326287785,2012-01-11
127.0.0.1,1,1326347915,2012-01-12
127.0.0.1,39,1326426153,2012-01-13
127.0.0.1,5,1326494103,2012-01-14
127.0.0.1,33,1326584811,2012-01-15
127.0.0.1,47,1326728099,2012-01-16
125.160.172.233,18,1326805918,2012-01-17
112.215.66.54,6,1326812290,2012-01-17
141.0.10.113,3,1326818703,2012-01-17
141.0.9.238,1,1326823824,2012-01-18
112.215.66.45,2,1326828049,2012-01-18
210.210.186.100,14,1326895718,2012-01-18
157.55.39.84,64,1326857217,2012-01-18
206.53.148.18,3,1326900937,2012-01-18
180.76.5.148,1,1326844904,2012-01-18
112.215.66.24,10,1326866038,2012-01-18
207.46.13.209,1,1326859385,2012-01-18
116.213.51.150,21,1326895092,2012-01-18
66.249.69.130,100,1326879218,2012-01-18
66.249.67.212,11,1326877430,2012-01-18
125.160.172.233,2,1326875184,2012-01-18
112.215.66.23,2,1326877319,2012-01-18
182.9.30.44,2,1326877719,2012-01-18
69.171.224.249,1,1326879103,2012-01-18
69.171.229.247,1,1326879150,2012-01-18
66.220.149.247,1,1326882256,2012-01-18
66.249.69.108,1,1326890444,2012-01-18
112.215.66.50,1,1326890700,2012-01-18
112.215.66.20,2,1326893804,2012-01-18
206.53.148.211,1,1326900774,2012-01-18
206.53.148.209,1,1326900978,2012-01-18
207.46.13.209,2,1326941180,2012-01-19
112.215.66.20,9,1326917120,2012-01-19
111.95.156.216,6,1326927338,2012-01-19
112.215.66.23,8,1326933448,2012-01-19
180.246.116.84,1,1326939897,2012-01-19
180.246.203.210,6,1326940193,2012-01-19
72.14.202.86,1,1326941254,2012-01-19
114.79.49.93,1,1326941268,2012-01-19
116.213.51.150,60,1326987934,2012-01-19
125.160.172.233,15,1326970012,2012-01-19
180.246.109.73,1,1326964449,2012-01-19
207.46.199.221,1,1326974024,2012-01-19
72.14.202.91,1,1326975774,2012-01-19
72.14.202.89,2,1326977282,2012-01-19
223.255.231.29,1,1326977291,2012-01-19
110.136.253.51,5,1326979328,2012-01-19
66.220.146.251,1,1326985894,2012-01-19
69.171.229.246,1,1326985896,2012-01-19
65.52.109.26,1,1326987233,2012-01-19
66.249.71.154,5,1326990257,2012-01-19
66.249.71.129,1,1326992048,2012-01-19
125.160.172.233,9,1326999600,2012-01-20
111.95.151.238,1,1327011591,2012-01-20
112.215.66.64,21,1327041084,2012-01-20
85.23.163.1,1,1327040980,2012-01-20
116.213.51.150,1,1327042968,2012-01-20
180.251.122.45,2,1327050287,2012-01-20
223.255.226.1,2,1327050424,2012-01-20
66.249.72.20,4,1327064415,2012-01-20
